"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3057","Edit course","LMS system","Wed Jan 28 12:30:36 UTC 2026","passed","Wed Jan 28 12:30:39 UTC 2026","Courses","Courses","",""
"","1786","User login with wrong email or password","LMS system","Wed Jan 28 12:30:29 UTC 2026","passed","Wed Jan 28 12:30:31 UTC 2026","Authorization","Authentication","",""
"","2950","User login with correct email and password","LMS system","Wed Jan 28 12:30:29 UTC 2026","passed","Wed Jan 28 12:30:32 UTC 2026","Authorization","Authentication","",""
"","1896","User login with wrong email or password","LMS system","Wed Jan 28 12:30:26 UTC 2026","passed","Wed Jan 28 12:30:28 UTC 2026","Authorization","Authentication","",""
"","2354","Create course","LMS system","Wed Jan 28 12:30:35 UTC 2026","passed","Wed Jan 28 12:30:38 UTC 2026","Courses","Courses","",""
"","1569","Navigation from login page to registration page","LMS system","Wed Jan 28 12:30:32 UTC 2026","passed","Wed Jan 28 12:30:34 UTC 2026","Authorization","Authentication","",""
"","1952","Check displaying of dashboard page","LMS system","Wed Jan 28 12:30:38 UTC 2026","passed","Wed Jan 28 12:30:40 UTC 2026","Dashboard","Dashboard","",""
"","1616","Check displaying of empty courses list","LMS system","Wed Jan 28 12:30:35 UTC 2026","passed","Wed Jan 28 12:30:36 UTC 2026","Courses","Courses","",""
"","1941","User login with wrong email or password","LMS system","Wed Jan 28 12:30:26 UTC 2026","passed","Wed Jan 28 12:30:28 UTC 2026","Authorization","Authentication","",""
"","2025","Registration with correct email, username and password","LMS system","Wed Jan 28 12:30:31 UTC 2026","passed","Wed Jan 28 12:30:33 UTC 2026","Registration","Authentication","",""
