"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1579","Check displaying of empty courses list","LMS system","Thu Jan 29 07:19:30 UTC 2026","passed","Thu Jan 29 07:19:32 UTC 2026","Courses","Courses","",""
"","1495","Navigation from login page to registration page","LMS system","Thu Jan 29 07:19:28 UTC 2026","passed","Thu Jan 29 07:19:30 UTC 2026","Authorization","Authentication","",""
"","1884","User login with wrong email or password","LMS system","Thu Jan 29 07:19:22 UTC 2026","passed","Thu Jan 29 07:19:24 UTC 2026","Authorization","Authentication","",""
"","3290","Edit course","LMS system","Thu Jan 29 07:19:32 UTC 2026","passed","Thu Jan 29 07:19:36 UTC 2026","Courses","Courses","",""
"","1965","Registration with correct email, username and password","LMS system","Thu Jan 29 07:19:27 UTC 2026","passed","Thu Jan 29 07:19:29 UTC 2026","Registration","Authentication","",""
"","2676","Create course","LMS system","Thu Jan 29 07:19:31 UTC 2026","passed","Thu Jan 29 07:19:34 UTC 2026","Courses","Courses","",""
"","2844","User login with correct email and password","LMS system","Thu Jan 29 07:19:25 UTC 2026","passed","Thu Jan 29 07:19:28 UTC 2026","Authorization","Authentication","",""
"","2059","Check displaying of dashboard page","LMS system","Thu Jan 29 07:19:34 UTC 2026","passed","Thu Jan 29 07:19:36 UTC 2026","Dashboard","Dashboard","",""
"","1944","User login with wrong email or password","LMS system","Thu Jan 29 07:19:22 UTC 2026","passed","Thu Jan 29 07:19:24 UTC 2026","Authorization","Authentication","",""
"","1735","User login with wrong email or password","LMS system","Thu Jan 29 07:19:25 UTC 2026","passed","Thu Jan 29 07:19:27 UTC 2026","Authorization","Authentication","",""
