"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2059","Check displaying of dashboard page","LMS system","Thu Jan 29 06:35:53 UTC 2026","passed","Thu Jan 29 06:35:55 UTC 2026","Dashboard","Dashboard","",""
"","2101","User login with wrong email or password","LMS system","Thu Jan 29 06:35:40 UTC 2026","passed","Thu Jan 29 06:35:42 UTC 2026","Authorization","Authentication","",""
"","2417","Create course","LMS system","Thu Jan 29 06:35:50 UTC 2026","passed","Thu Jan 29 06:35:52 UTC 2026","Courses","Courses","",""
"","2056","User login with wrong email or password","LMS system","Thu Jan 29 06:35:40 UTC 2026","passed","Thu Jan 29 06:35:42 UTC 2026","Authorization","Authentication","",""
"","1641","User login with wrong email or password","LMS system","Thu Jan 29 06:35:43 UTC 2026","passed","Thu Jan 29 06:35:44 UTC 2026","Authorization","Authentication","",""
"","1978","Registration with correct email, username and password","LMS system","Thu Jan 29 06:35:46 UTC 2026","passed","Thu Jan 29 06:35:48 UTC 2026","Registration","Authentication","",""
"","3100","User login with correct email and password","LMS system","Thu Jan 29 06:35:43 UTC 2026","passed","Thu Jan 29 06:35:46 UTC 2026","Authorization","Authentication","",""
"","1548","Check displaying of empty courses list","LMS system","Thu Jan 29 06:35:49 UTC 2026","passed","Thu Jan 29 06:35:50 UTC 2026","Courses","Courses","",""
"","3786","Edit course","LMS system","Thu Jan 29 06:35:51 UTC 2026","passed","Thu Jan 29 06:35:54 UTC 2026","Courses","Courses","",""
"","2371","Navigation from login page to registration page","LMS system","Thu Jan 29 06:35:45 UTC 2026","passed","Thu Jan 29 06:35:47 UTC 2026","Authorization","Authentication","",""
